class,file,number,odd,gap,elapsed,fixNum,gazes,fixavglen,sacavglen,saclen,rec,det,lam,corm,coverage5,coverage7,coverage10
L,A1116,0,1,159,6066,10,334,481.7,5.213557125606096,52.135571256060956,29.495075311973796,24.063501994212874,97.70470008602487,9.097409637164672,0.12,0.10204081632653061,0.07
L,A1116,1,2,1786,11038,17,410,488.70588235294116,4.575807004327154,77.78871907356162,15.202214732787676,67.62668250197942,103.14726840855106,2.5850460399614827,0.24,0.14285714285714285,0.14
L,A1116,10,1,168,6024,9,330,540.2222222222222,6.843654420598449,61.59288978538604,14.13770053475936,0.0,21.294780869248953,7.020323426573427,0.16,0.10204081632653061,0.08
L,A1116,11,2,187,11024,26,600,297.0769230769231,5.23968098830395,136.2317056959027,4.517348524080787,0.0,21.77576521838817,1.137151734852408,0.36,0.20408163265306123,0.15
L,A1116,12,1,1139,6048,11,271,347.90909090909093,6.351620888474982,69.8678297732248,12.58688267572511,0.0,61.24143657878347,6.171674941207212,0.2,0.12244897959183673,0.07
L,A1116,13,2,206,11030,19,607,455.7894736842105,7.412180143899687,140.83142273409405,5.765332306902746,13.1412039612774,0.0,3.5035853790665183,0.28,0.22448979591836735,0.13
L,A1116,14,1,168,6030,10,344,508.7,3.924591251450809,39.24591251450809,10.394687984623113,39.46207186383694,51.14519857112839,5.3188107181947695,0.12,0.08163265306122448,0.08
L,A1116,15,2,323,11019,15,611,602.8,6.57967265921184,98.6950898881776,5.773849022024204,0.0,26.214256396223835,1.6880972694319931,0.16,0.08163265306122448,0.09
L,A1116,16,1,191,6028,12,329,428.8333333333333,2.544370501130448,30.532446013565377,46.691163480903086,123.21982595535377,59.72569050321604,18.56243957434644,0.04,0.061224489795918366,0.03
L,A1116,17,2,1180,11033,15,539,518.7333333333333,6.223083889521484,93.34625834282225,15.611287568619531,25.73209455486299,77.19628366458898,9.048598233792939,0.2,0.12244897959183673,0.1
L,A1116,18,1,541,6025,11,284,347.0,2.1016355757449197,23.117991333194116,45.17422059208803,60.691295018268285,113.62581917299774,18.343725438826304,0.08,0.04081632653061224,0.04
L,A1116,19,2,169,11035,20,607,404.35,5.7001334297250095,114.0026685945002,13.391212667504051,37.11119751166407,49.94410964230171,3.838416500337226,0.2,0.12244897959183673,0.09
L,A1116,2,1,135,6022,12,339,422.8333333333333,4.852698753517117,58.23238504220541,17.119360733866053,18.03244374672946,29.377289377289376,7.260641676737997,0.16,0.12244897959183673,0.08
L,A1116,20,1,93,6026,11,341,412.27272727272725,5.57383620986788,61.312198308546684,0.0,0.0,0.0,0.0,0.2,0.16326530612244897,0.09
L,A1116,21,2,172,11035,19,591,499.7894736842105,5.022546372196871,95.42838107174055,9.245413273425068,14.136556350060115,31.870530911852182,3.1647178279093473,0.24,0.1836734693877551,0.1
L,A1116,22,1,114,6012,12,341,410.0,2.9981482743454815,35.977779292145776,7.716186252771619,27.370689655172416,76.25718390804597,2.063092118524491,0.16,0.12244897959183673,0.08
L,A1116,23,2,188,11016,24,579,320.2916666666667,5.464944832137178,131.15867597129227,8.13343815928643,27.17663421418637,40.83796940194715,2.2952112950374324,0.28,0.16326530612244897,0.11
L,A1116,3,2,168,11029,12,612,786.3333333333334,3.052096895946029,36.62516275135235,36.34436779837373,70.21524758774255,101.58387233591347,11.583122838855237,0.08,0.061224489795918366,0.04
L,A1116,4,1,122,6037,14,341,316.7857142857143,4.204237279478269,58.85932191269576,19.634030006070592,0.0,30.609540636042404,9.825287018938914,0.12,0.12244897959183673,0.08
L,A1116,5,2,190,11031,19,599,480.05263157894734,4.665775989480771,88.64974380013464,14.08654021854329,42.430924892982226,19.70424179530419,4.978099650650175,0.2,0.14285714285714285,0.08
L,A1116,6,1,158,6031,12,341,414.3333333333333,5.359991862529984,64.31990235035981,9.484019600672859,0.0,8.983998457682668,5.255546764359753,0.12,0.10204081632653061,0.06
L,A1116,7,2,136,11033,20,629,432.85,7.04743173742406,140.9486347484812,5.702716998109227,0.0,4.434968017057569,2.4143592506920406,0.24,0.20408163265306123,0.12
L,A1116,8,1,114,6028,14,344,311.57142857142856,4.706951983162283,65.89732776427196,4.406941064437626,0.0,0.0,0.9672019512248059,0.16,0.14285714285714285,0.09
L,A1116,9,2,212,11035,20,598,407.0,3.343712669189422,66.87425338378844,14.667011509116772,43.612237700581915,68.2816081819785,3.938078093202747,0.16,0.12244897959183673,0.08
L,B1051,0,1,61,6072,6,240,908.0,4.930981053247066,29.585886319482398,0.0,0.0,0.0,0.0,0.12,0.10204081632653061,0.06
L,B1051,1,2,334,11037,9,458,1110.3333333333333,4.364269219294055,39.27842297364649,5.869108375863105,0.0,10.272804774083546,1.3919118382868008,0.16,0.10204081632653061,0.06
